Year,Age,Level,Employer,Role,Coach
2013,39,NFL,Arizona Cardinals,Quarterbacks,Freddie Kitchens
2014,40,NFL,Arizona Cardinals,Quarterbacks,Freddie Kitchens
2015,41,NFL,Arizona Cardinals,Quarterbacks,Freddie Kitchens
2016,42,NFL,Arizona Cardinals,Quarterbacks,Freddie Kitchens
2017,43,NFL,Arizona Cardinals,Running Backs,Freddie Kitchens
2018,44,NFL,Cleveland Browns,Offensive Coordinator/Running Backs,Freddie Kitchens
2019,45,NFL,Cleveland Browns,Head Coach,Freddie Kitchens
2020,46,NFL,New York Giants,Tight Ends,Freddie Kitchens
2021,47,NFL,New York Giants,Offensive Coordinator/Senior Offensive Asst.,Freddie Kitchens
1926,25,NFL,Los Angeles Buccaneers,Head Coach,Brick Muller
1940,29,College,West Virginia,Assistant Coach,Mike Nixon
1941,30,College,West Virginia,Assistant Coach,Mike Nixon
1942,31,NFL,Brooklyn Dodgers,Assistant Coach,Mike Nixon
1946,35,NFL,Pittsburgh Steelers,Assistant Coach,Mike Nixon
1947,36,NFL,Pittsburgh Steelers,Assistant Coach,Mike Nixon
1948,37,NFL,Pittsburgh Steelers,Backfield Coach,Mike Nixon
1949,38,NFL,Pittsburgh Steelers,Backfield Coach,Mike Nixon
1950,39,NFL,Pittsburgh Steelers,Backfield Coach,Mike Nixon
1951,40,NFL,Pittsburgh Steelers,Backfield Coach,Mike Nixon
1952,41,NFL,Chicago Cardinals,Assistant Coach,Mike Nixon
1953,42,NFL,Chicago Cardinals,Assistant Coach,Mike Nixon
1954,43,NFL,Washington Redskins,Backfield Coach,Mike Nixon
1955,44,NFL,Washington Redskins,Backfield Coach,Mike Nixon
1956,45,NFL,Washington Redskins,Backfield Coach,Mike Nixon
1957,46,NFL,Washington Redskins,Backfield Coach,Mike Nixon
1958,47,NFL,Washington Redskins,Backfield Coach,Mike Nixon
1959,48,NFL,Washington Redskins,Head Coach,Mike Nixon
1960,49,NFL,Washington Redskins,Head Coach,Mike Nixon
1961,50,NFL,Pittsburgh Steelers,Backfield Coach,Mike Nixon
1962,51,NFL,Pittsburgh Steelers,Backfield Coach,Mike Nixon
1963,52,NFL,Pittsburgh Steelers,Backfield Coach,Mike Nixon
1964,53,NFL,Pittsburgh Steelers,Backfield Coach,Mike Nixon
1965,54,NFL,Pittsburgh Steelers,Head Coach,Mike Nixon
1966,55,NFL,Philadelphia Eagles,Offensive Assistant,Mike Nixon
1967,56,NFL,Philadelphia Eagles,Offensive Assistant,Mike Nixon
1968,57,NFL,Philadelphia Eagles,Offensive Assistant,Mike Nixon
1945,32,NFL,Cleveland Rams,Offensive Backfield,Bob Snyder
1946,33,NFL,Los Angeles Rams,Offensive Backfield,Bob Snyder
1947,34,NFL,Los Angeles Rams,Head Coach,Bob Snyder
1948,35,College,Southern California,Assistant Coach,Bob Snyder
1949,36,NFL,Green Bay Packers,Backfield Coach,Bob Snyder
1950,37,College,Toledo,Head Coach,Bob Snyder
1953,40,CFL,Calgary Stampeders,Head Coach,Bob Snyder
1954,41,College,Villanova,Assistant Coach,Bob Snyder
1955,42,NFL,Pittsburgh Steelers,Assistant Coach,Bob Snyder
1956,43,NFL,Pittsburgh Steelers,Assistant Coach,Bob Snyder
1957,44,College,West Virginia,Assistant Coach,Bob Snyder
1958,45,College,West Virginia,Assistant Coach,Bob Snyder
1962,49,UFL,Toledo Tornadoes,Head Coach,Bob Snyder
1963,50,UFL,Toledo Tornadoes,Head Coach,Bob Snyder
1964,51,UFL,Toledo Tornadoes,Head Coach,Bob Snyder
1965,52,COFL,Wheeling Ironmen,Head Coach,Bob Snyder
1966,53,COFL,Wheeling Ironmen,Head Coach,Bob Snyder
1967,54,COFL,Wheeling Ironmen,Head Coach,Bob Snyder
1968,55,COFL,Indianapolis Capitols,Head Coach,Bob Snyder
1960,40,NFL,Houston Oilers,Receivers,Mac Speedie
1961,41,NFL,Houston Oilers,Receivers,Mac Speedie
1962,42,NFL,Denver Broncos,Receivers,Mac Speedie
1963,43,NFL,Denver Broncos,Receivers,Mac Speedie
1964,44,NFL,Denver Broncos,Head Coach,Mac Speedie
1965,45,NFL,Denver Broncos,Head Coach,Mac Speedie
1966,46,NFL,Denver Broncos,Head Coach,Mac Speedie
1989,21,College,Catawba College,Assistant Coach/Strength & Conditioning,Jim Tomsula
1991,23,High School,Woodland Hills (Churchill PA),Defensive Line,Jim Tomsula
1992,24,College,Charleston Southern,Defensive Line,Jim Tomsula
1993,25,College,Charleston Southern,Defensive Line,Jim Tomsula
1994,26,College,Charleston Southern,Defensive Line,Jim Tomsula
1995,27,College,Charleston Southern,Defensive Line,Jim Tomsula
1996,28,College,Charleston Southern,Defensive Line,Jim Tomsula
1997,29,College,Catawba College,Defensive Line,Jim Tomsula
1998,30,NFL Europe,England Monarchs,Defensive Line,Jim Tomsula
1999,31,NFL Europe,Scottish Claymores,Defensive Line,Jim Tomsula
2000,32,NFL Europe,Scottish Claymores,Defensive Line,Jim Tomsula
2001,33,NFL Europe,Scottish Claymores,Defensive Line,Jim Tomsula
2002,34,NFL Europe,Scottish Claymores,Defensive Line,Jim Tomsula
2003,35,NFL Europe,Scottish Claymores,Defensive Line,Jim Tomsula
2004,36,NFL Europe,Berlin Thunder,Defensive Coordinator,Jim Tomsula
2005,37,NFL Europe,Berlin Thunder,Defensive Coordinator,Jim Tomsula
2006,38,NFL Europe,Rhein Fire,Head Coach,Jim Tomsula
2007,39,NFL,San Francisco 49ers,Defensive Line,Jim Tomsula
2008,40,NFL,San Francisco 49ers,Defensive Line,Jim Tomsula
2009,41,NFL,San Francisco 49ers,Defensive Line,Jim Tomsula
2010,42,NFL,San Francisco 49ers,Defensive Line,Jim Tomsula
2010,42,NFL,San Francisco 49ers,Defensive Line/Interim Head Coach,Jim Tomsula
2011,43,NFL,San Francisco 49ers,Defensive Line,Jim Tomsula
2012,44,NFL,San Francisco 49ers,Defensive Line,Jim Tomsula
2013,45,NFL,San Francisco 49ers,Defensive Line,Jim Tomsula
2014,46,NFL,San Francisco 49ers,Defensive Line,Jim Tomsula
2015,47,NFL,San Francisco 49ers,Head Coach,Jim Tomsula
2017,49,NFL,Washington Redskins,Defensive Line,Jim Tomsula
2018,50,NFL,Washington Redskins,Defensive Line,Jim Tomsula
2019,51,NFL,Washington Redskins,Defensive Line,Jim Tomsula
2020,52,NFL,Dallas Cowboys,Defensive Line,Jim Tomsula
1924,27,NFL,Rock Island Independents,Head Coach,John Armstrong
1926,23,College,St. Vincent (PA),Head Coach,Clem Crowe
1927,24,College,St. Vincent (PA),Head Coach,Clem Crowe
1928,25,College,St. Vincent (PA),Head Coach,Clem Crowe
1929,26,College,St. Vincent (PA),Head Coach,Clem Crowe
1930,27,College,St. Vincent (PA),Head Coach,Clem Crowe
1931,28,College,St. Vincent (PA),Head Coach,Clem Crowe
1936,33,College,Xavier,Head Coach,Clem Crowe
1937,34,College,Xavier,Head Coach,Clem Crowe
1938,35,College,Xavier,Head Coach,Clem Crowe
1939,36,College,Xavier,Head Coach,Clem Crowe
1940,37,College,Xavier,Head Coach,Clem Crowe
1941,38,College,Xavier,Head Coach,Clem Crowe
1942,39,College,Xavier,Head Coach,Clem Crowe
1943,40,College,Xavier,Head Coach,Clem Crowe
1945,42,College,Iowa,Head Coach,Clem Crowe
1946,43,NFL,Buffalo Bisons,Line Coach,Clem Crowe
1947,44,NFL,Buffalo Bills,Line Coach,Clem Crowe
1948,45,NFL,Buffalo Bills,Line Coach,Clem Crowe
1949,46,NFL,Buffalo Bills,Head Coach,Clem Crowe
1950,47,NFL,Baltimore Colts,Head Coach,Clem Crowe
1951,48,CFL,Ottawa Rough Riders,Head Coach,Clem Crowe
1952,49,CFL,Ottawa Rough Riders,Head Coach,Clem Crowe
1953,50,CFL,Ottawa Rough Riders,Head Coach,Clem Crowe
1954,51,CFL,Ottawa Rough Riders,Head Coach,Clem Crowe
1956,53,CFL,British Columbia Lions,Head Coach,Clem Crowe
1957,54,CFL,British Columbia Lions,Head Coach,Clem Crowe
1958,55,CFL,British Columbia Lions,Head Coach,Clem Crowe
1966,23,College,San Diego State,Assistant Coach,Rod Dowhower
1967,24,College,San Diego State,Assistant Coach,Rod Dowhower
1968,25,College,San Diego State,Assistant Coach,Rod Dowhower
1969,26,College,San Diego State,Assistant Coach,Rod Dowhower
1970,27,College,San Diego State,Assistant Coach,Rod Dowhower
1971,28,College,San Diego State,Assistant Coach,Rod Dowhower
1972,29,College,San Diego State,Assistant Coach,Rod Dowhower
1973,30,NFL,St. Louis Cardinals,Receivers,Rod Dowhower
1974,31,College,UCLA,Offensive Coordinator,Rod Dowhower
1975,32,College,UCLA,Offensive Coordinator,Rod Dowhower
1976,33,College,Boise State,Offensive Coordinator,Rod Dowhower
1977,34,College,Stanford,Offensive Assistant,Rod Dowhower
1978,35,College,Stanford,Offensive Assistant,Rod Dowhower
1979,36,College,Stanford,Head Coach,Rod Dowhower
1980,37,NFL,Denver Broncos,Offensive Coordinator,Rod Dowhower
1981,38,NFL,Denver Broncos,Offensive Coordinator,Rod Dowhower
1982,39,NFL,Denver Broncos,Offensive Coordinator,Rod Dowhower
1983,40,NFL,St. Louis Cardinals,Offensive Coordinator,Rod Dowhower
1984,41,NFL,St. Louis Cardinals,Offensive Coordinator,Rod Dowhower
1985,42,NFL,Indianapolis Colts,Head Coach,Rod Dowhower
1986,43,NFL,Indianapolis Colts,Head Coach,Rod Dowhower
1987,44,NFL,Atlanta Falcons,Offensive Coordinator,Rod Dowhower
1988,45,NFL,Atlanta Falcons,Offensive Coordinator,Rod Dowhower
1989,46,NFL,Atlanta Falcons,Offensive Coordinator,Rod Dowhower
1990,47,NFL,Washington Redskins,Quarterbacks,Rod Dowhower
1991,48,NFL,Washington Redskins,Quarterbacks,Rod Dowhower
1992,49,NFL,Washington Redskins,Quarterbacks,Rod Dowhower
1993,50,NFL,Washington Redskins,Offensive Coordinator,Rod Dowhower
1993,50,NFL,Washington Redskins,Quarterbacks,Rod Dowhower
1994,51,NFL,Cleveland Browns,Quarterbacks,Rod Dowhower
1995,52,College,Vanderbilt,Head Coach,Rod Dowhower
1996,53,College,Vanderbilt,Head Coach,Rod Dowhower
1997,54,NFL,New York Giants,Quarterbacks,Rod Dowhower
1998,55,NFL,New York Giants,Quarterbacks,Rod Dowhower
1999,56,NFL,Philadelphia Eagles,Offensive Coordinator,Rod Dowhower
2000,57,NFL,Philadelphia Eagles,Offensive Coordinator,Rod Dowhower
2001,58,NFL,Philadelphia Eagles,Offensive Coordinator,Rod Dowhower
1924,25,NFL,Milwaukee Badgers,Head Coach,Hal Erickson
1930,25,NFL,New York Giants,Head Coach,Benny Friedman
1931,26,College,Yale,Backfield Coach,Benny Friedman
1932,27,NFL,Brooklyn Dodgers,Head Coach,Benny Friedman
1934,29,College,CCNY,Head Coach,Benny Friedman
1935,30,College,CCNY,Head Coach,Benny Friedman
1936,31,College,CCNY,Head Coach,Benny Friedman
1937,32,College,CCNY,Head Coach,Benny Friedman
1938,33,College,CCNY,Head Coach,Benny Friedman
1939,34,College,CCNY,Head Coach,Benny Friedman
1940,35,College,CCNY,Head Coach,Benny Friedman
1941,36,College,CCNY,Head Coach,Benny Friedman
1951,46,College,Brandeis,Head Coach,Benny Friedman
1952,47,College,Brandeis,Head Coach,Benny Friedman
1953,48,College,Brandeis,Head Coach,Benny Friedman
1954,49,College,Brandeis,Head Coach,Benny Friedman
1955,50,College,Brandeis,Head Coach,Benny Friedman
1956,51,College,Brandeis,Head Coach,Benny Friedman
1957,52,College,Brandeis,Head Coach,Benny Friedman
1958,53,College,Brandeis,Head Coach,Benny Friedman
1959,54,College,Brandeis,Head Coach,Benny Friedman
1930,28,NFL,Portsmouth Spartans,Head Coach,Hal Griffen
1997,22,College,Fresno State,Graduate Assistant,Lane Kiffin
1998,23,College,Fresno State,Graduate Assistant,Lane Kiffin
1999,24,College,Colorado State,Offensive Line Assistant,Lane Kiffin
2000,25,NFL,Jacksonville Jaguars,Defensive Quality Control,Lane Kiffin
2001,26,College,USC,Tight Ends,Lane Kiffin
2002,27,College,USC,Wide Receivers,Lane Kiffin
2003,28,College,USC,Wide Receivers,Lane Kiffin
2004,29,College,USC,Wide Receivers/Passing Game Coordinator,Lane Kiffin
2005,30,College,USC,Offensive Coordinator/Wide Receivers,Lane Kiffin
2006,31,College,USC,Offensive Coordinator/Wide Receivers,Lane Kiffin
2007,32,NFL,Oakland Raiders,Head Coach,Lane Kiffin
2008,33,NFL,Oakland Raiders,Head Coach,Lane Kiffin
2009,34,College,Tennessee,Head Coach,Lane Kiffin
2010,35,College,USC,Head Coach,Lane Kiffin
2011,36,College,USC,Head Coach,Lane Kiffin
2012,37,College,USC,Head Coach,Lane Kiffin
2013,38,College,USC,Head Coach,Lane Kiffin
2014,39,College,Alabama,Offensive Coordinator/QB,Lane Kiffin
2015,40,College,Alabama,Offensive Coordinator/QB,Lane Kiffin
2016,41,College,Alabama,Offensive Coordinator/QB,Lane Kiffin
2017,42,College,Florida Atlantic,Head Coach,Lane Kiffin
2018,43,College,Florida Atlantic,Head Coach,Lane Kiffin
2019,44,College,Florida Atlantic,Head Coach,Lane Kiffin
2020,45,College,Ole Miss,Head Coach,Lane Kiffin
1923,26,College,Norwich Univ. (VT),Head Coach,Jim Laird
1924,27,College,Norwich Univ. (VT),Head Coach,Jim Laird
1925,28,College,Norwich Univ. (VT),Head Coach,Jim Laird
1926,29,NFL,Providence Steam Roller,Head Coach,Jim Laird
1932,35,College,Norwich Univ. (VT),Head Coach,Jim Laird
1933,36,College,Norwich Univ. (VT),Head Coach,Jim Laird
1934,37,College,Norwich Univ. (VT),Head Coach,Jim Laird
1952,26,College,Denison,Assistant Coach,Ken Meyer
1953,27,College,Denison,Assistant Coach,Ken Meyer
1954,28,College,Denison,Assistant Coach,Ken Meyer
1955,29,College,Denison,Assistant Coach,Ken Meyer
1956,30,College,Denison,Assistant Coach,Ken Meyer
1957,31,College,Denison,Assistant Coach,Ken Meyer
1958,32,College,Wake Forest,Assistant Coach,Ken Meyer
1959,33,College,Wake Forest,Assistant Coach,Ken Meyer
1960,34,College,Florida State,Assistant Coach,Ken Meyer
1961,35,College,Florida State,Assistant Coach,Ken Meyer
1962,36,College,Florida State,Assistant Coach,Ken Meyer
1963,37,College,Alabama,Quarterbacks,Ken Meyer
1964,38,College,Alabama,Quarterbacks,Ken Meyer
1965,39,College,Alabama,Quarterbacks,Ken Meyer
1966,40,College,Alabama,Quarterbacks,Ken Meyer
1967,41,College,Alabama,Quarterbacks,Ken Meyer
1968,42,NFL,San Francisco 49ers,Offensive Backfield,Ken Meyer
1969,43,NFL,New York Jets,Receivers,Ken Meyer
1970,44,NFL,New York Jets,Receivers,Ken Meyer
1971,45,NFL,New York Jets,Receivers,Ken Meyer
1972,46,NFL,New York Jets,Receivers,Ken Meyer
1973,47,NFL,Los Angeles Rams,Offensive Coordinator,Ken Meyer
1974,48,NFL,Los Angeles Rams,Offensive Coordinator,Ken Meyer
1975,49,NFL,Los Angeles Rams,Offensive Coordinator,Ken Meyer
1976,50,NFL,Los Angeles Rams,Offensive Coordinator,Ken Meyer
1977,51,NFL,San Francisco 49ers,Head Coach,Ken Meyer
1978,52,NFL,Chicago Bears,Offensive Coordinator,Ken Meyer
1979,53,NFL,Chicago Bears,Offensive Coordinator,Ken Meyer
1980,54,NFL,Chicago Bears,Offensive Coordinator,Ken Meyer
1981,55,College,Tulane,Offensive Coordinator,Ken Meyer
1982,56,College,Tulane,Offensive Coordinator,Ken Meyer
1983,57,NFL,Seattle Seahawks,Quarterbacks,Ken Meyer
1984,58,NFL,Seattle Seahawks,Quarterbacks,Ken Meyer
1985,59,NFL,Seattle Seahawks,Quarterbacks,Ken Meyer
1986,60,NFL,Seattle Seahawks,Quarterbacks,Ken Meyer
1987,61,NFL,Seattle Seahawks,Quarterbacks,Ken Meyer
1988,62,NFL,Seattle Seahawks,Quarterbacks,Ken Meyer
1989,63,NFL,Seattle Seahawks,Quarterbacks,Ken Meyer
1990,64,NFL,Seattle Seahawks,Quarterbacks,Ken Meyer
1991,65,NFL,Seattle Seahawks,Quarterbacks,Ken Meyer
1985,23,College (FCS),Montana,Receivers,Marty Mornhinweg
1986,24,College (FBS),UTEP,Graduate Assistant,Marty Mornhinweg
1987,25,College (FBS),UTEP,Graduate Assistant,Marty Mornhinweg
1988,26,College (FCS),Northern Arizona,Running Backs,Marty Mornhinweg
1989,27,College (NCAA D-II),Southeast Missouri State,Offensive Coordinator/Quarterbacks,Marty Mornhinweg
1990,28,College (NCAA D-II),Southeast Missouri State,Offensive Coordinator/Quarterbacks,Marty Mornhinweg
1991,29,College (FBS),Missouri,Tight Ends/Offensive Line,Marty Mornhinweg
1992,30,College (FBS),Missouri,Tight Ends/Offensive Line,Marty Mornhinweg
1993,31,College (FBS),Missouri,Tight Ends/Offensive Line,Marty Mornhinweg
1994,32,College (FCS),Northern Arizona,Offensive Coordinator,Marty Mornhinweg
1995,33,NFL,Green Bay Packers,Offensive Quality Control,Marty Mornhinweg
1996,34,NFL,Green Bay Packers,Quarterbacks,Marty Mornhinweg
1997,35,NFL,San Francisco 49ers,Offensive Coordinator/Quarterbacks,Marty Mornhinweg
1998,36,NFL,San Francisco 49ers,Offensive Coordinator/Quarterbacks,Marty Mornhinweg
1999,37,NFL,San Francisco 49ers,Offensive Coordinator/Quarterbacks,Marty Mornhinweg
2000,38,NFL,San Francisco 49ers,Offensive Coordinator/Quarterbacks,Marty Mornhinweg
2001,39,NFL,Detroit Lions,Head Coach,Marty Mornhinweg
2002,40,NFL,Detroit Lions,Head Coach,Marty Mornhinweg
2003,41,NFL,Philadelphia Eagles,Senior Assistant,Marty Mornhinweg
2004,42,NFL,Philadelphia Eagles,Assistant Head Coach,Marty Mornhinweg
2005,43,NFL,Philadelphia Eagles,Assistant Head Coach,Marty Mornhinweg
2006,44,NFL,Philadelphia Eagles,Assistant Head Coach/Offensive Coordinator,Marty Mornhinweg
2007,45,NFL,Philadelphia Eagles,Assistant Head Coach/Offensive Coordinator,Marty Mornhinweg
2008,46,NFL,Philadelphia Eagles,Assistant Head Coach/Offensive Coordinator,Marty Mornhinweg
2009,47,NFL,Philadelphia Eagles,Assistant Head Coach/Offensive Coordinator,Marty Mornhinweg
2010,48,NFL,Philadelphia Eagles,Assistant Head Coach/Offensive Coordinator,Marty Mornhinweg
2011,49,NFL,Philadelphia Eagles,Assistant Head Coach/Offensive Coordinator,Marty Mornhinweg
2012,50,NFL,Philadelphia Eagles,Offensive Coordinator/Assistant Head Coach,Marty Mornhinweg
2013,51,NFL,New York Jets,Offensive Coordinator,Marty Mornhinweg
2014,52,NFL,New York Jets,Offensive Coordinator,Marty Mornhinweg
2015,53,NFL,Baltimore Ravens,Quarterbacks,Marty Mornhinweg
2016,54,NFL,Baltimore Ravens,Quarterbacks/Interim Offensive Coordinator,Marty Mornhinweg
2017,55,NFL,Baltimore Ravens,Offensive Coordinator/Quarterbacks,Marty Mornhinweg
2018,56,NFL,Baltimore Ravens,Offensive Coordinator/Quarterbacks,Marty Mornhinweg
2020,58,NFL,Philadelphia Eagles,Senior Offensive Asst.,Marty Mornhinweg
1972,23,College,Connecticut,DL/WR,Chris Palmer
1973,24,College,Connecticut,DL/WR,Chris Palmer
1974,25,College,Connecticut,DL/WR,Chris Palmer
1975,26,College,Lehigh,Wide Receivers,Chris Palmer
1976,27,College,Colgate,Offensive Coordinator,Chris Palmer
1977,28,College,Colgate,Offensive Coordinator,Chris Palmer
1978,29,College,Colgate,Offensive Coordinator,Chris Palmer
1979,30,College,Colgate,Offensive Coordinator,Chris Palmer
1980,31,College,Colgate,Offensive Coordinator,Chris Palmer
1981,32,College,Colgate,Offensive Coordinator,Chris Palmer
1982,33,College,Colgate,Offensive Coordinator,Chris Palmer
1983,34,CFL,Montreal Concordes,Offensive Line,Chris Palmer
1984,35,USFL,New Jersey General,Wide Receivers,Chris Palmer
1985,36,USFL,New Jersey General,OC/QBs,Chris Palmer
1986,37,College,New Haven,Head Coach,Chris Palmer
1987,38,College,New Haven,Head Coach,Chris Palmer
1988,39,College,Boston University,Head Coach,Chris Palmer
1989,40,College,Boston University,Head Coach,Chris Palmer
1990,41,NFL,Houston Oilers,Wide Receivers,Chris Palmer
1991,42,NFL,Houston Oilers,Wide Receivers,Chris Palmer
1992,43,NFL,Houston Oilers,Wide Receivers,Chris Palmer
1993,44,NFL,New England Patriots,Wide Receivers,Chris Palmer
1994,45,NFL,New England Patriots,Wide Receivers,Chris Palmer
1995,46,NFL,New England Patriots,Wide Receivers,Chris Palmer
1996,47,NFL,New England Patriots,Quarterbacks,Chris Palmer
1997,48,NFL,Jacksonville Jaguars,Offensive Coordinator,Chris Palmer
1998,49,NFL,Jacksonville Jaguars,Offensive Coordinator,Chris Palmer
1999,50,NFL,Cleveland Browns,Head Coach,Chris Palmer
2000,51,NFL,Cleveland Browns,Head Coach,Chris Palmer
2002,53,NFL,Houston Texans,Offensive Coordinator,Chris Palmer
2003,54,NFL,Houston Texans,Offensive Coordinator,Chris Palmer
2004,55,NFL,Houston Texans,Offensive Coordinator,Chris Palmer
2005,56,NFL,Houston Texans,Offensive Coordinator,Chris Palmer
2006,57,NFL,Dallas Cowboys,Quarterbacks,Chris Palmer
2007,58,NFL,New York Giants,Quarterbacks,Chris Palmer
2008,59,NFL,New York Giants,Quarterbacks,Chris Palmer
2009,60,NFL,New York Giants,Quarterbacks,Chris Palmer
2010,61,UFL,Hartford Colonials,Head Coach,Chris Palmer
2011,62,NFL,Tennessee Titans,Offensive Coordinator,Chris Palmer
2012,63,NFL,Tennessee Titans,Offensive Coordinator,Chris Palmer
2014,65,NFL,San Francisco 49ers,Offensive Assistant,Chris Palmer
2015,66,NFL,Buffalo Bills,Sr. Offensive Assistant,Chris Palmer
2016,67,NFL,Buffalo Bills,Sr. Offensive Assistant,Chris Palmer
1920,23,College,Catholic Univ. (DC),Head Coach,Harry Robb
1925,28,NFL,Canton Bulldogs,Head Coach,Harry Robb
